,State,Non-Workers - PersonsGraduate and above other than Technical Degree,Non-Workers - PersonsIlliterate,Non-Workers - PersonsLiterate,Non-Workers - PersonsLiterate but below Matric/Secondary,Non-Workers - PersonsMatric/Secondary but below Graduate,Non-Workers - PersonsTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Non-Workers - PersonsTechnical Diploma or Certificate not equal to Degree,Non-Workers - PersonsTotal,Non-Workers - MalesGraduate and above other than Technical Degree,Non-Workers - MalesIlliterate,Non-Workers - MalesLiterate,Non-Workers - MalesLiterate but below Matric/Secondary,Non-Workers - MalesMatric/Secondary but below Graduate,Non-Workers - MalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Non-Workers - MalesTechnical Diploma or Certificate not equal to Degree,Non-Workers - MalesTotal,Non-Workers - FemalesGraduate and above other than Technical Degree,Non-Workers - FemalesIlliterate,Non-Workers - FemalesLiterate,Non-Workers - FemalesLiterate but below Matric/Secondary,Non-Workers - FemalesMatric/Secondary but below Graduate,Non-Workers - FemalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Non-Workers - FemalesTechnical Diploma or Certificate not equal to Degree,Non-Workers - FemalesTotal,"Main Activity Beggars, Vagrants etc. - PersonsGraduate and above other than Technical Degree","Main Activity Beggars, Vagrants etc. - PersonsIlliterate","Main Activity Beggars, Vagrants etc. - PersonsLiterate","Main Activity Beggars, Vagrants etc. - PersonsLiterate but below Matric/Secondary","Main Activity Beggars, Vagrants etc. - PersonsMatric/Secondary but below Graduate","Main Activity Beggars, Vagrants etc. - PersonsTechnical Degree or Diploma equal to Degree or Post-Graduate Degree","Main Activity Beggars, Vagrants etc. - PersonsTechnical Diploma or Certificate not equal to Degree","Main Activity Beggars, Vagrants etc. - PersonsTotal","Main Activity Beggars, Vagrants etc. - MalesGraduate and above other than Technical Degree","Main Activity Beggars, Vagrants etc. - MalesIlliterate","Main Activity Beggars, Vagrants etc. - MalesLiterate","Main Activity Beggars, Vagrants etc. - MalesLiterate but below Matric/Secondary","Main Activity Beggars, Vagrants etc. - MalesMatric/Secondary but below Graduate","Main Activity Beggars, Vagrants etc. - MalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree","Main Activity Beggars, Vagrants etc. - MalesTechnical Diploma or Certificate not equal to Degree","Main Activity Beggars, Vagrants etc. - MalesTotal","Main Activity Beggars, Vagrants etc. - FemalesGraduate and above other than Technical Degree","Main Activity Beggars, Vagrants etc. - FemalesIlliterate","Main Activity Beggars, Vagrants etc. - FemalesLiterate","Main Activity Beggars, Vagrants etc. - FemalesLiterate but below Matric/Secondary","Main Activity Beggars, Vagrants etc. - FemalesMatric/Secondary but below Graduate","Main Activity Beggars, Vagrants etc. - FemalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree","Main Activity Beggars, Vagrants etc. - FemalesTechnical Diploma or Certificate not equal to Degree","Main Activity Beggars, Vagrants etc. - FemalesTotal",Main Activity Students - PersonsGraduate and above other than Technical Degree,Main Activity Students - PersonsIlliterate,Main Activity Students - PersonsLiterate,Main Activity Students - PersonsLiterate but below Matric/Secondary,Main Activity Students - PersonsMatric/Secondary but below Graduate,Main Activity Students - PersonsTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Students - PersonsTechnical Diploma or Certificate not equal to Degree,Main Activity Students - PersonsTotal,Main Activity Students - MalesGraduate and above other than Technical Degree,Main Activity Students - MalesIlliterate,Main Activity Students - MalesLiterate,Main Activity Students - MalesLiterate but below Matric/Secondary,Main Activity Students - MalesMatric/Secondary but below Graduate,Main Activity Students - MalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Students - MalesTechnical Diploma or Certificate not equal to Degree,Main Activity Students - MalesTotal,Main Activity Students - FemalesGraduate and above other than Technical Degree,Main Activity Students - FemalesIlliterate,Main Activity Students - FemalesLiterate,Main Activity Students - FemalesLiterate but below Matric/Secondary,Main Activity Students - FemalesMatric/Secondary but below Graduate,Main Activity Students - FemalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Students - FemalesTechnical Diploma or Certificate not equal to Degree,Main Activity Students - FemalesTotal,Main Activity Household Duties - PersonsGraduate and above other than Technical Degree,Main Activity Household Duties - PersonsIlliterate,Main Activity Household Duties - PersonsLiterate,Main Activity Household Duties - PersonsLiterate but below Matric/Secondary,Main Activity Household Duties - PersonsMatric/Secondary but below Graduate,Main Activity Household Duties - PersonsTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Household Duties - PersonsTechnical Diploma or Certificate not equal to Degree,Main Activity Household Duties - PersonsTotal,Main Activity Household Duties - MalesGraduate and above other than Technical Degree,Main Activity Household Duties - MalesIlliterate,Main Activity Household Duties - MalesLiterate,Main Activity Household Duties - MalesLiterate but below Matric/Secondary,Main Activity Household Duties - MalesMatric/Secondary but below Graduate,Main Activity Household Duties - MalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Household Duties - MalesTechnical Diploma or Certificate not equal to Degree,Main Activity Household Duties - MalesTotal,Main Activity Household Duties - FemalesGraduate and above other than Technical Degree,Main Activity Household Duties - FemalesIlliterate,Main Activity Household Duties - FemalesLiterate,Main Activity Household Duties - FemalesLiterate but below Matric/Secondary,Main Activity Household Duties - FemalesMatric/Secondary but below Graduate,Main Activity Household Duties - FemalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Household Duties - FemalesTechnical Diploma or Certificate not equal to Degree,Main Activity Household Duties - FemalesTotal,Main Activity Dependents - PersonsGraduate and above other than Technical Degree,Main Activity Dependents - PersonsIlliterate,Main Activity Dependents - PersonsLiterate,Main Activity Dependents - PersonsLiterate but below Matric/Secondary,Main Activity Dependents - PersonsMatric/Secondary but below Graduate,Main Activity Dependents - PersonsTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Dependents - PersonsTechnical Diploma or Certificate not equal to Degree,Main Activity Dependents - PersonsTotal,Main Activity Dependents - MalesGraduate and above other than Technical Degree,Main Activity Dependents - MalesIlliterate,Main Activity Dependents - MalesLiterate,Main Activity Dependents - MalesLiterate but below Matric/Secondary,Main Activity Dependents - MalesMatric/Secondary but below Graduate,Main Activity Dependents - MalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Dependents - MalesTechnical Diploma or Certificate not equal to Degree,Main Activity Dependents - MalesTotal,Main Activity Dependents - FemalesGraduate and above other than Technical Degree,Main Activity Dependents - FemalesIlliterate,Main Activity Dependents - FemalesLiterate,Main Activity Dependents - FemalesLiterate but below Matric/Secondary,Main Activity Dependents - FemalesMatric/Secondary but below Graduate,Main Activity Dependents - FemalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Dependents - FemalesTechnical Diploma or Certificate not equal to Degree,Main Activity Dependents - FemalesTotal,Main Activity Pensioners - PersonsGraduate and above other than Technical Degree,Main Activity Pensioners - PersonsIlliterate,Main Activity Pensioners - PersonsLiterate,Main Activity Pensioners - PersonsLiterate but below Matric/Secondary,Main Activity Pensioners - PersonsMatric/Secondary but below Graduate,Main Activity Pensioners - PersonsTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Pensioners - PersonsTechnical Diploma or Certificate not equal to Degree,Main Activity Pensioners - PersonsTotal,Main Activity Pensioners - MalesGraduate and above other than Technical Degree,Main Activity Pensioners - MalesIlliterate,Main Activity Pensioners - MalesLiterate,Main Activity Pensioners - MalesLiterate but below Matric/Secondary,Main Activity Pensioners - MalesMatric/Secondary but below Graduate,Main Activity Pensioners - MalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Pensioners - MalesTechnical Diploma or Certificate not equal to Degree,Main Activity Pensioners - MalesTotal,Main Activity Pensioners - FemalesGraduate and above other than Technical Degree,Main Activity Pensioners - FemalesIlliterate,Main Activity Pensioners - FemalesLiterate,Main Activity Pensioners - FemalesLiterate but below Matric/Secondary,Main Activity Pensioners - FemalesMatric/Secondary but below Graduate,Main Activity Pensioners - FemalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Pensioners - FemalesTechnical Diploma or Certificate not equal to Degree,Main Activity Pensioners - FemalesTotal,Main Activity Rentiers - PersonsGraduate and above other than Technical Degree,Main Activity Rentiers - PersonsIlliterate,Main Activity Rentiers - PersonsLiterate,Main Activity Rentiers - PersonsLiterate but below Matric/Secondary,Main Activity Rentiers - PersonsMatric/Secondary but below Graduate,Main Activity Rentiers - PersonsTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Rentiers - PersonsTechnical Diploma or Certificate not equal to Degree,Main Activity Rentiers - PersonsTotal,Main Activity Rentiers - MalesGraduate and above other than Technical Degree,Main Activity Rentiers - MalesIlliterate,Main Activity Rentiers - MalesLiterate,Main Activity Rentiers - MalesLiterate but below Matric/Secondary,Main Activity Rentiers - MalesMatric/Secondary but below Graduate,Main Activity Rentiers - MalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Rentiers - MalesTechnical Diploma or Certificate not equal to Degree,Main Activity Rentiers - MalesTotal,Main Activity Rentiers - FemalesGraduate and above other than Technical Degree,Main Activity Rentiers - FemalesIlliterate,Main Activity Rentiers - FemalesLiterate,Main Activity Rentiers - FemalesLiterate but below Matric/Secondary,Main Activity Rentiers - FemalesMatric/Secondary but below Graduate,Main Activity Rentiers - FemalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Rentiers - FemalesTechnical Diploma or Certificate not equal to Degree,Main Activity Rentiers - FemalesTotal,Main Activity Others - PersonsGraduate and above other than Technical Degree,Main Activity Others - PersonsIlliterate,Main Activity Others - PersonsLiterate,Main Activity Others - PersonsLiterate but below Matric/Secondary,Main Activity Others - PersonsMatric/Secondary but below Graduate,Main Activity Others - PersonsTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Others - PersonsTechnical Diploma or Certificate not equal to Degree,Main Activity Others - PersonsTotal,Main Activity Others - MalesGraduate and above other than Technical Degree,Main Activity Others - MalesIlliterate,Main Activity Others - MalesLiterate,Main Activity Others - MalesLiterate but below Matric/Secondary,Main Activity Others - MalesMatric/Secondary but below Graduate,Main Activity Others - MalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Others - MalesTechnical Diploma or Certificate not equal to Degree,Main Activity Others - MalesTotal,Main Activity Others - FemalesGraduate and above other than Technical Degree,Main Activity Others - FemalesIlliterate,Main Activity Others - FemalesLiterate,Main Activity Others - FemalesLiterate but below Matric/Secondary,Main Activity Others - FemalesMatric/Secondary but below Graduate,Main Activity Others - FemalesTechnical Degree or Diploma equal to Degree or Post-Graduate Degree,Main Activity Others - FemalesTechnical Diploma or Certificate not equal to Degree,Main Activity Others - FemalesTotal,MaleNo Education,FemaleNo Education,Male_Below Matric/Secondary,Female_Below Matric/Secondary,Male_Below Graduate,Female_Below Graduate,Male_Above Graduate,Female_Above Graduate,Year,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total,%ageofPersons (Total),No.ofPersons(lakhs) (Total)
0, Andaman & Nicobar Islands,6333,67178,160868,108094,40370,1150,1513,228046,1398,25618,56364,39876,13184,421,637,81982,4935,41560,104504,68218,27186,729,876,146064,2,14,35,13,16,0,1,49,1,5,10,6,2,0,0,15,1,9,25,7,14,0,1,34,1063,13014,77477,58354,16820,291,579,90491,466,6584,39605,30189,8289,137,313,46189,597,6430,37872,28165,8531,154,266,44302,2202,14015,45509,29804,11532,215,158,59524,42,641,1535,1100,321,6,10,2176,2160,13374,43974,28704,11211,209,148,57348,191,34215,6769,4679,1344,45,33,40984,78,16228,2915,2077,561,18,12,19143,113,17987,3854,2602,783,27,21,21841,228,3433,5727,3798,1274,81,72,9160,178,1492,4107,2701,963,67,52,5599,50,1941,1620,1097,311,14,20,3561,8,120,277,193,50,5,2,397,6,36,147,93,35,3,2,183,2,84,130,100,15,2,0,214,2639,2367,25074,11253,9334,513,668,27441,627,632,8045,3710,3013,190,248,8677,2012,1735,17029,7543,6321,323,420,18764,3,1,52,19,37,22,2,0,2011,0,3,5,2,0,10,0,0,0,1,0,1,11,1.0,0.04
1, Andhra Pradesh,1684053,16961578,28196293,16291298,7813178,702312,282912,45157871,685788,6445327,11811224,6899112,3126487,395473,202247,18256551,998265,10516251,16385069,9392186,4686691,306839,80665,26901320,182,21826,4652,2637,705,55,19,26478,109,10952,3238,1981,466,33,14,14190,73,10874,1414,656,239,22,5,12288,557461,3352462,17821966,11830770,4514678,351060,184351,21174428,359611,1724907,9634240,6158383,2524118,230419,137300,11359147,197850,1627555,8187726,5672387,1990560,120641,47051,9815281,627985,2962943,6488964,2930574,2229060,115943,22713,9451907,17487,98496,152763,59854,44724,6253,2567,251259,610498,2864447,6336201,2870720,2184336,109690,20146,9200648,93386,8952398,1579724,854313,352588,27816,10427,10532122,39057,4052381,651126,353535,133576,14922,8159,4703507,54329,4900017,928598,500778,219012,12894,2268,5828615,93957,1211148,648305,264435,179470,30513,14795,1859453,80152,361327,443152,147359,140726,25691,12330,804479,13805,849821,205153,117076,38744,4822,2465,1054974,4257,20088,35980,16446,10041,999,511,56068,2934,6530,19229,7365,5987,743,457,25759,1323,13558,16751,9081,4054,256,54,30309,306825,440713,1616702,392123,526636,175926,50096,2057415,186438,190734,907476,170635,276890,117412,41420,1098210,120387,249979,709226,221488,249746,58514,8676,959205,3015,1724,4306,2035,2493,1122,306,76,2011,0,181,248,98,8,535,0,59,30,14,4,107,642,9.2,78.78
2, Arunachal Pradesh,13537,355609,440461,322414,92214,1981,1231,796070,6230,154419,209220,153529,43255,1225,855,363639,7307,201190,231241,168885,48959,756,376,432431,2,61,31,20,6,0,0,92,1,28,19,13,4,0,0,47,1,33,12,7,2,0,0,45,5723,72747,352645,273991,67807,1151,888,425392,3144,36460,184095,141562,36199,749,644,220555,2579,36287,168550,132429,31608,402,244,204837,2475,41374,43230,26442,11844,127,55,84604,125,3267,2111,1272,498,8,8,5378,2350,38107,41119,25170,11346,119,47,79226,600,227424,14322,9160,2325,69,25,241746,263,108820,6805,4437,950,43,16,115625,337,118604,7517,4723,1375,26,9,126121,158,1621,1648,985,380,28,6,3269,140,753,1290,764,292,25,6,2043,18,868,358,221,88,3,0,1226,21,339,238,130,66,4,0,577,18,156,173,84,53,4,0,329,3,183,65,46,13,0,0,248,4558,12043,28347,11686,9786,602,257,40390,2539,4935,14727,5397,5259,396,181,19662,2019,7108,13620,6289,4527,206,76,20728,21,12,53,18,25,4,0,1,2011,0,5,2,0,0,7,1,2,0,0,0,3,10,34.67,4.91
3, Assam,333647,8166257,11069629,8281329,2002325,23865,13259,19235886,118601,3065412,4332471,3308468,756592,13357,9887,7397883,215046,5100845,6737158,4972861,1245733,10508,3372,11838003,31,17775,2539,1907,190,3,1,20314,21,5131,1472,1104,142,3,1,6603,10,12644,1067,803,48,0,0,13711,58422,1030860,6310632,5257237,916966,8112,7176,7341492,28797,520176,3230364,2673105,481438,5374,5441,3750540,29625,510684,3080268,2584132,435528,2738,1735,3590952,98359,1692442,2583044,1760268,534215,3761,850,4275486,4317,77413,139020,97375,25387,231,164,216433,94042,1615029,2444024,1662893,508828,3530,686,4059053,13901,4989939,709346,540453,81103,877,348,5699285,5371,2350732,300395,231917,30058,368,261,2651127,8530,2639207,408951,308536,51045,509,87,3048158,28885,61191,181512,81490,54574,3573,1664,242703,24346,15012,120117,43556,40740,3131,1587,135129,4539,46179,61395,37934,13834,442,77,107574,1167,5823,10998,5858,3097,72,49,16821,778,2209,5148,2371,1555,57,48,7357,389,3614,5850,3487,1542,15,1,9464,132882,368227,1271558,634116,412180,7467,3171,1639785,54971,94739,535955,259040,177272,4193,2385,630694,77911,273488,735603,375076,234908,3274,786,1009091,286,199,928,519,578,170,34,12,2011,0,7,15,21,5,48,0,6,5,0,0,11,59,31.98,101.27
4, Bihar,1071449,35779912,33594553,24928665,5853059,112005,17767,69374465,563409,13345117,15710851,11684296,2756073,80391,14439,29055968,508040,22434795,17883702,13244369,3096986,31614,3328,40318497,95,22269,3588,2184,443,16,1,25857,78,9848,2735,1728,370,11,1,12583,17,12421,853,456,73,5,0,13274,376639,3974986,23391689,19271276,3261882,59351,11728,27366675,262352,2026182,12994233,10390994,2041843,47201,10138,15020415,114287,1948804,10397456,8880282,1220039,12150,1590,12346260,303819,8571959,5966657,3493366,1531249,13234,1373,14538616,17258,327576,275866,151935,68179,1177,171,603442,286561,8244383,5690791,3341431,1463070,12057,1202,13935174,66709,21846603,2044190,1283761,319019,4461,662,23890793,39266,10522461,1050367,648796,163519,3117,525,11572828,27443,11324142,993823,634965,155500,1344,137,12317965,70865,177616,319906,94394,123038,9492,1081,497522,65718,49452,263317,64488,109412,8831,1049,312769,5147,128164,56589,29906,13626,661,32,184753,2237,13477,14264,5906,4510,184,23,27741,1879,5179,9141,3017,3273,155,21,14320,358,8298,5123,2889,1237,29,2,13421,251085,1173002,1854259,777778,612918,25267,2899,3027261,176858,404419,1115192,423338,369477,19899,2534,1519611,74227,768583,739067,354440,243441,5368,365,1507650,113,113,198,161,106,64,29,11,2011,0,14,22,12,1,49,0,5,2,0,0,7,56,33.74,358.15
5, Chandigarh,66279,192958,458356,228674,136571,13927,6257,651314,18518,74326,178178,99854,48785,5662,3743,252504,47761,118632,280178,128820,87786,8265,2514,398810,5,74,40,26,9,0,0,114,2,51,32,23,7,0,0,83,3,23,8,3,2,0,0,31,13540,43603,251356,160483,68272,5305,2822,294959,6069,23417,138255,89412,37121,2970,2126,161672,7471,20186,113101,71071,31151,2335,696,133287,31151,47792,136069,48654,48010,3710,919,183861,220,702,1422,611,464,45,22,2124,30931,47090,134647,48043,47546,3665,897,181737,2317,95091,18539,9457,5046,395,200,113630,816,47741,7938,4212,2161,164,110,55679,1501,47350,10601,5245,2885,231,90,57951,10143,2395,22699,2863,5778,1997,1537,25094,8003,966,16832,1791,4469,1399,943,17798,2140,1429,5867,1072,1309,598,594,7296,401,317,1258,335,396,59,44,1575,297,157,900,215,298,44,34,1057,104,160,358,120,98,15,10,518,8722,3686,28395,6856,9060,2461,735,32081,3111,1292,12799,3590,4265,1040,508,14091,5611,2394,15596,3266,4795,1421,227,17990,2,0,11,14,34,31,10,3,2011,0,8,1,1,0,10,0,2,0,0,0,2,12,21.81,2.35
6, Chhattisgarh,302597,5617213,7747760,5914572,1336854,42641,17128,13364973,86548,2298382,3400647,2665531,564093,24184,12811,5699029,216049,3318831,4347113,3249041,772761,18457,4317,7665944,27,7491,1864,1503,172,4,3,9355,23,3050,1498,1224,143,4,3,4548,4,4441,366,279,29,0,0,4807,64206,958185,5444481,4528843,790335,21207,9868,6402666,32950,487241,2828357,2325490,431687,13574,7532,3315598,31256,470944,2616124,2203353,358648,7633,2336,3087068,142967,640332,1302967,775098,327220,6518,1256,1943299,2155,22454,34292,23365,6658,200,88,56746,140812,617878,1268675,751733,320562,6318,1168,1886553,15931,3649208,433869,324188,61535,1779,884,4083077,7343,1695671,224277,169395,31345,1149,746,1919948,8588,1953537,209592,154793,30190,630,138,2163129,17036,236198,122429,64082,30543,2817,1304,358627,14671,58313,90091,42697,25571,2507,1227,148404,2365,177885,32338,21385,4972,310,77,210223,771,4910,6112,3283,1612,124,92,11022,583,1652,3995,1944,1159,111,86,5647,188,3258,2117,1339,453,13,6,5375,61659,120889,436038,217575,125437,10192,3721,556927,28823,30001,218137,101416,67530,6639,3129,248138,32836,90888,217901,116159,57907,3553,592,308789,963,692,2510,1166,1006,357,48,14,2011,3,182,246,146,15,592,0,18,11,3,2,34,626,39.93,104.11
7, Dadra & Nagar Haveli,4759,77491,109057,76811,20631,1178,1113,186548,650,30206,44261,34536,6804,453,533,74467,4109,47285,64796,42275,13827,725,580,112081,0,15,3,3,0,0,0,18,0,4,2,2,0,0,0,6,0,11,1,1,0,0,0,12,787,10935,70739,58168,9590,534,644,81674,408,5650,38917,31517,5702,304,386,44567,379,5285,31822,26651,3888,230,258,37107,3367,15658,29245,13688,9193,342,192,44903,23,420,730,487,134,4,3,1150,3344,15238,28515,13201,9059,338,189,43753,92,49023,4180,2815,584,24,25,53203,56,23577,2027,1349,267,15,18,25604,36,25446,2153,1466,317,9,7,27599,79,59,650,183,204,30,103,709,61,13,447,115,160,22,55,460,18,46,203,68,44,8,48,249,8,115,226,164,37,2,0,341,5,35,162,111,32,1,0,197,3,80,64,53,5,1,0,144,426,1686,4014,1790,1023,246,149,5700,97,507,1976,955,509,107,71,2483,329,1179,2038,835,514,139,78,3217,11,11,23,7,7,4,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,39.31,1.43
8, Daman & Diu,3330,41430,80546,50531,22635,678,946,121976,610,16051,26816,18463,6369,298,477,42867,2720,25379,53730,32068,16266,380,469,79109,0,16,3,3,0,0,0,19,0,10,2,2,0,0,0,12,0,6,1,1,0,0,0,7,442,6830,37599,28352,7694,235,460,44429,230,3578,20416,15212,4272,158,299,23994,212,3252,17183,13140,3422,77,161,20435,2035,8591,30593,16040,10826,195,145,39184,29,214,706,405,209,6,13,920,2006,8377,29887,15635,10617,189,132,38264,185,25149,5305,3383,1260,35,43,30454,72,12024,2364,1595,485,19,25,14388,113,13125,2941,1788,775,16,18,16066,103,137,1084,442,325,52,116,1221,90,40,842,348,272,42,59,882,13,97,242,94,53,10,57,339,5,38,200,126,53,2,5,238,5,12,134,76,40,2,5,146,0,26,66,50,13,0,0,92,560,669,5762,2185,2477,159,177,6431,184,173,2352,825,1091,71,76,2525,376,496,3410,1360,1386,88,101,3906,1,0,8,3,8,10,1,2,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86,0.26
9, Goa,44143,236109,645188,333764,189417,7954,12798,881297,11139,92189,227415,131509,60918,3393,6179,319604,33004,143920,417773,202255,128499,4561,6619,561693,15,109,120,34,25,2,0,229,4,54,67,25,16,1,0,121,11,55,53,9,9,1,0,108,6807,57147,270009,183433,67283,2579,4857,327156,2832,29294,138850,95410,33157,1374,3210,168144,3975,27853,131159,88023,34126,1205,1647,159012,19275,45055,207693,85300,69580,1706,3182,252748,563,2361,8707,4177,2542,71,155,11068,18712,42694,198986,81123,67038,1635,3027,241680,2869,119860,56930,28309,13211,473,789,176790,1051,55427,24321,12913,5551,227,424,79748,1818,64433,32609,15396,7660,246,365,97042,3918,6834,25957,8597,7735,1308,937,32791,2972,2195,18258,6152,5800,792,672,20453,946,4639,7699,2445,1935,516,265,12338,476,435,3391,1176,1145,120,99,3826,351,207,2551,877,898,81,77,2758,125,228,840,299,247,39,22,1068,10783,6669,81088,26915,30438,1766,2934,87757,3366,2651,34661,11955,12954,847,1641,37312,7417,4018,46427,14960,17484,919,1293,50445,121,72,451,222,539,237,57,17,2011,1,210,130,25,4,370,1,40,10,3,1,55,425,9.91,16.96
